ticker,yearReport,Market Capital (Bn. VND),P/E,P/B,EPS (VND),BVPS (VND),ROE (%),ROA (%),Net Profit Margin (%)
DHD,2021,251997648000.0,8.5070897151,0.6786887507,2468.5292741898925,30942.0186751743,0.0823634686,0.0513016182,0.0477630715100795
DHD,2020,254858598270.0,8.9194572609,0.732351164,2857.348743818091,34800.245090748,0.0850815458,0.0470038017,0.0445974250329908
DHD,2019,188800000000.0,7.1201710187,0.5833124274,3314.527128375,40458.592841875,0.0875992484,0.0417536247,0.0400398669964108
DHD,2018,141600000000.0,4.2541085661,0.5026097117,5547.578213666667,46954.9223826667,0.1244542377,0.0555945619,0.0449153542934982
DHD,2017,141600000000.0,2.8758454211,0.5593004349,8206.282516833333,42195.5688356667,0.2151818019,0.103004219,0.057340969455747
DHD,2016,141600000000.0,3.4113111466,0.692540138,6918.161078166667,34077.4472188333,0.2253041899,0.1105785495,0.0542285874607271
DHD,2015,70800000000.0,1.5405809536,0.4316921761,15318.896384666668,54668.5840143333,0.3196914871,0.1470193455,0.0620188127306654
DHD,2014,70800000000.0,2.4852048246,0.5732759126,9496.199173,41166.913663,0.2549390433,0.1083615828,0.0403653492788076
DHG,2023,13989829597000.0,13.7270556061,2.8827566279,8035.902346120978,37117.2505387944,0.2297918802,0.186309826,0.2094875179650772
DHG,2022,13597591384000.0,14.1818701578,3.16846661,7560.109749470024,32823.4483119344,0.2446201565,0.2020170703,0.2113882083417731
DHG,2021,11100341427900.0,14.7238297914,2.9288421777,5944.497758812194,28987.5639755706,0.2111670711,0.1714738399,0.1941510465588003
DHG,2020,14774306023000.0,20.5862414248,4.1454620216,5658.869094008951,27258.7227699102,0.2130488008,0.1721776037,0.1970047651299795
DHG,2019,12865413386400.0,20.8743488438,3.815205189,4859.710821551188,25791.5354808788,0.1948501248,0.1521380551,0.1630557443349022
DHG,2018,12865413386400.0,21.8829117887,4.1041563226,4994.639160644452,23975.6949457395,0.2212400501,0.1574808749,0.1682142915021381
DHG,2017,12865413386400.0,22.1583358326,4.6827198118,4913.40177359517,21013.4289377766,0.2282543891,0.1599457774,0.1581213289844185
DHG,2016,8576970072000.0,14.2846398902,3.0247219407,7866.121767941083,32531.9159678162,0.2543657301,0.1876284932,0.181241638449088
DHG,2015,8576970072000.0,16.0496630768,3.4295358349,6753.921050296606,28691.9293852084,0.2445349688,0.1719860193,0.1631763288223342
DHG,2014,8576970072000.0,16.0836449473,3.7671243297,6118.016178682266,26120.7200474667,0.2494848705,0.1625004635,0.1362991202729762
DHM,2023,266867530000.0,56.1485247462,0.7571325184,190.4016944736589,11226.5683923012,0.0171011039,0.0081013131,0.0021879690177646
DHM,2022,237041159000.0,188.0957127306,0.6838026026,40.139139220121685,11041.1981041961,0.0036420172,0.0023340266,0.0008777210468329
DHM,2021,299833519000.0,4.4263007315,0.8680982468,2157.5578749070746,11001.058964976,0.217375749,0.1284167374,0.0485177691687385
DHM,2020,376754160000.0,-4.7453180866,1.3559484581,-2528.8083498374644,8849.8939086539,-0.2497548671,-0.1459692464,-0.0874213327491775
